,user_id, gpa all,piazza-contribution,perceived-stress-scale-survey-pre,perceived-stress-scale-survey-post,sleep,exercise,social,activity__working_alone,activity__working_others,activity__relaxing_alone,activity__relaxing_others,behavior__anxious,behavior__calm,behavior__conventional,behavior__critical,behavior__dependable,behavior__disorganized,behavior__enthusiastic,behavior__experiences,behavior__reserved,behavior__sympathetic,mood__happy,mood__sad,perceived-stress(mean_replace),perceived-stress(zero_replace)
0,0,,144.0,3.6,2.9,7.1090909090909085,2.0,2.9545454545454546,2.0526315789473686,2.6842105263157894,1.5789473684210529,1.4736842105263157,2.0,3.7142857142857135,2.7142857142857144,1.1428571428571428,3.7142857142857135,1.4285714285714286,2.7142857142857144,2.142857142857143,3.2857142857142856,3.1428571428571432,1.5,1.5,3.6,3.6
1,1,2.863,5.0,3.1,3.2,7.222222222222222,1.0,3.5,1.6666666666666667,2.0,2.333333333333333,3.333333333333333,1.6666666666666667,4.0,4.0,1.0,3.333333333333333,1.6666666666666667,3.0,2.6666666666666665,3.0,1.6666666666666667,2.0,1.0,3.1,3.1
2,2,3.505,0.0,2.9,3.7,7.9230769230769225,2.0,2.8,2.25,2.375,1.0,2.0,2.0,3.0,2.0,3.6,3.4,2.2,3.2,2.4,3.4,1.8,1.0,1.0,2.9,2.9
3,3,,30.0,1.9,2.8,8.071428571428571,1.875,1.55,2.5454545454545454,1.0909090909090908,1.9090909090909087,1.7272727272727273,,,,,,,,,,,1.0,1.0,1.9,1.9
4,4,3.029,1.0,2.9,3.1,6.470588235294117,4.083333333333333,3.0740740740740735,1.9230769230769231,1.8461538461538465,2.8461538461538463,2.4615384615384617,2.0869565217391304,3.9565217391304346,2.760869565217391,2.369565217391304,3.8260869565217392,2.1956521739130435,2.847826086956522,2.739130434782609,3.934782608695652,3.717391304347826,1.75,1.75,2.9,2.9
5,5,3.679,1.0,3.1,2.7,7.5,,4.333333333333333,,,,,2.333333333333333,3.0,2.0,1.3333333333333333,2.333333333333333,3.0,2.333333333333333,2.6666666666666665,3.5,3.0,,1.3157507961967285,3.1,3.1
6,6,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
7,7,3.4739999999999998,12.0,3.4,3.4,7.041666666666668,2.3846153846153846,3.25,2.4444444444444446,1.4444444444444444,1.8888888888888888,1.3333333333333333,2.75,3.333333333333333,2.5,2.5,2.75,4.333333333333333,1.75,2.5,2.25,2.75,1.0,2.0,3.4,3.4
8,8,3.705,45.0,3.5,,7.0,1.5161290322580645,2.7674418604651163,3.3703703703703702,2.1481481481481484,1.4444444444444444,1.2962962962962965,1.0,4.333333333333333,3.0,1.0,3.333333333333333,1.6666666666666667,3.0,2.6666666666666665,3.333333333333333,3.0,1.0,2.0,3.5,3.5
9,9,3.806,20.0,2.7,3.3,8.0,,3.0,,,,,2.3777777777777778,3.8666666666666663,3.488888888888889,1.6888888888888889,4.355555555555555,1.5777777777777775,2.933333333333333,3.4444444444444446,3.844444444444445,3.1555555555555554,,1.3157507961967285,2.7,2.7
10,10,3.667,26.0,3.6,3.5,7.787234042553193,1.7,3.1333333333333333,3.0,1.0,1.2857142857142858,1.0714285714285714,,,,,,,,,,,1.3333333333333333,1.0,3.6,3.6
11,11,,,,,,,,,,,,,,,,,,,,,,,1.3157507961967285,3.0867149758478263,0.0
12,12,3.245,6.0,2.9,,7.846153846153847,2.0,2.055555555555556,4.5,1.3333333333333333,1.0,1.0,3.0,3.0,3.0909090909090913,2.833333333333333,3.0,3.0,3.1666666666666665,3.083333333333333,3.1666666666666665,3.1666666666666665,1.0,1.0,2.9,2.9
13,13,,620.0,2.5,,8.0,,,,,,,3.6666666666666665,2.5,3.6666666666666665,2.6666666666666665,3.333333333333333,2.333333333333333,2.6666666666666665,3.6666666666666665,3.0,3.0,,1.3157507961967285,2.5,2.5
14,14,3.293,16.0,2.9,3.4,6.966666666666668,1.0,3.2307692307692313,1.875,2.625,1.625,2.375,2.25,3.25,2.5,2.5,3.75,2.5,2.0,3.75,2.75,3.75,2.0,1.0,2.9,2.9
